X,Y,FID,id,modified,language,bibliographicCitation,institutionCode,collectionCode,datasetName,basisOfRecord,dynamicProperties,catalogNumber,occurrenceRemarks,individualCount,sex,lifeStage,occurrenceStatus,associatedTaxa,eventID,samplingProtocol,eventDate,startDayOfYear,year,month,day,fieldNumber,waterBody,country,stateProvince,county,locality,minimumDepthInMeters,maximumDepthInMeters,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,footprintWKT,identifiedBy,typeStatus,scientificNameID,scientificName,kingdom,phylum,class,order_,family,genus,subgenus,specificEpithet,infraspecificEpithet,scientificNameAuthorship
148.7,-41.05,1,1,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,BANZARE  Stn 115 Anthemiphyllia multidentata,,,,,Present,,,,1931-03-24,83,1931,3,24,BANZARE  Stn 115,Pacific Ocean,,,,northeastern Tasmania,128,128,-41.05,148.7,WGS84,500,POINT (148.7 -41.05),,,urn:lsid:marinespecies.org:taxname:289415,Anthemiphyllia multidentata,Animalia,Cnidaria,Anthozoa,Scleractinia,Anthemiphylliidae,Anthemiphyllia,,multidentata,,"Cairns, 1999"
-16.95,32.4167,2,2,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,CANCAP Stn 3.053 Truncatoflabellum stabile,,,,,Present,,,,1978-10-20,293,1978,10,20,CANCAP Stn 3.053,Atlantic Ocean,,,,south of Madeira,2850,3010,32.4167,-16.95,WGS84,500,POINT (-16.95 32.4167),,,urn:lsid:marinespecies.org:taxname:135202,Truncatoflabellum stabile,Animalia,Cnidaria,Anthozoa,Scleractinia,Flabellidae,Truncatoflabellum,,stabile,,"(Marenzeller, 1904)"
-169.405,16.6867,3,3,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,HURL Stn 83-202 Madracis kauaiensis,,,,,Present,,,,1983-10-16,289,1983,10,16,HURL Stn 83-202,Pacific Ocean,,,,Johnston Atoll,183,183,16.6867,-169.405,WGS84,500,POINT (-169.405 16.6867),,,urn:lsid:marinespecies.org:taxname:208944,Madracis kauaiensis,Animalia,Cnidaria,Anthozoa,Scleractinia,Astrocoeniidae,Madracis,,kauaiensis,,"Vaughan, 1907"
-156.0583,20.5967,4,4,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,HURL Stn P5-063 Trochocyathus (Trochocyathus) patelliformis,,,,,Present,,,,1988-05-23,144,1988,5,23,HURL Stn P5-063,Pacific Ocean,,,,"Alenuihaha, Hawaiian Island",1020,1020,20.5967,-156.0583,WGS84,500,POINT (-156.0583 20.5967),,,urn:lsid:marinespecies.org:taxname:286890,Trochocyathus (Trochocyathus) patelliformis,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Trochocyathus,Trochocyathus,patelliformis,,"Cairns, 1999"
133.0308,-5.2969,5,5,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,KARUBAR 'Baruna Jaya 1' Stn 18 Anthemiphyllia spinifera,,,,,Present,,,,1991-10-24,297,1991,10,24,KARUBAR 'Baruna Jaya 1' Stn 18,Pacific Ocean,,,,Kai Island,205,212,-5.2969,133.0308,WGS84,500,POINT (133.0308 -5.2969),,,urn:lsid:marinespecies.org:taxname:289419,Anthemiphyllia spinifera,Animalia,Cnidaria,Anthozoa,Scleractinia,Anthemiphylliidae,Anthemiphyllia,,spinifera,,"Cairns, 1999"
132.8067,-7.8742,6,6,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,KARUBAR 'Baruna Jaya 1' Stn 44 Javania exserta,,,,,Present,,,,1991-10-29,302,1991,10,29,KARUBAR 'Baruna Jaya 1' Stn 44,Pacific Ocean,,,,Tanimbar,291,295,-7.8742,132.8067,WGS84,500,POINT (132.8067 -7.8742),,,urn:lsid:marinespecies.org:taxname:287034,Javania exserta,Animalia,Cnidaria,Anthozoa,Scleractinia,Flabellidae,Javania,,exserta,,"Cairns, 1999"
132.9806,-7.9975,7,7,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,KARUBAR 'Baruna Jaya 1' Stn 49 Javania exserta,,,,,Present,,,,1991-10-29,302,1991,10,29,KARUBAR 'Baruna Jaya 1' Stn 49,Pacific Ocean,,,,Tanimbar,206,209,-7.9975,132.9806,WGS84,500,POINT (132.9806 -7.9975),,,urn:lsid:marinespecies.org:taxname:287034,Javania exserta,Animalia,Cnidaria,Anthozoa,Scleractinia,Flabellidae,Javania,,exserta,,"Cairns, 1999"
132.3344,-5.7775,8,8,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,KARUBAR 'Baruna Jaya 1' Stn 5 Trochocyathus (Trochocyathus) vasiformis,,,,,Present,,,,1991-10-22,295,1991,10,22,KARUBAR 'Baruna Jaya 1' Stn 5,Pacific Ocean,,,,Kai Island,285,323,-5.7775,132.3344,WGS84,500,POINT (132.3344 -5.7775),,,urn:lsid:marinespecies.org:taxname:286896,Trochocyathus (Trochocyathus) vasiformis,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Trochocyathus,Trochocyathus,vasiformis,,"Bourne, 1903"
131.2414,-9.3997,9,9,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,KARUBAR 'Baruna Jaya 1' Stn 86 Javania exserta,,,,,Present,,,,1991-11-04,308,1991,11,4,KARUBAR 'Baruna Jaya 1' Stn 86,Pacific Ocean,,,,Tanimbar,111,216,-9.3997,131.2414,WGS84,500,POINT (131.2414 -9.3997),,,urn:lsid:marinespecies.org:taxname:287034,Javania exserta,Animalia,Cnidaria,Anthozoa,Scleractinia,Flabellidae,Javania,,exserta,,"Cairns, 1999"
148.6083,-39.0333,10,10,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,KIMBLA Stn K7/73-37 Anthemiphyllia multidentata,,,,,Present,,,,1973-11-23,327,1973,11,23,KIMBLA Stn K7/73-37,Pacific Ocean,,,,northeastern Tasmania,256,256,-39.0333,148.6083,WGS84,500,POINT (148.6083 -39.0333),,,urn:lsid:marinespecies.org:taxname:289415,Anthemiphyllia multidentata,Animalia,Cnidaria,Anthozoa,Scleractinia,Anthemiphylliidae,Anthemiphyllia,,multidentata,,"Cairns, 1999"
