objectid,statefp,countyfp,tractce,blkgrpce,geoid,namelsad,x_crf1,x_crf2,x_crf3,x_cl1,x_cl2,x_highsec,x_medsec,x_datasec,x_areasec,x_usgsdw_s,x_oswcrdw_,x_crf4,x_oswcr_pe,x_usgs_per,x_wq_score,x_wq_per,x_datacov,globalid,Shape__Area,Shape__Length
1,06,053,011101,3,060530111013,Block Group 3,1,0,1.21,NNSM, ,2,0,4,4,9.3,6,50,66,75,56.03,24,100,e64b44e5-ef02-4173-8aa2-6c6c8808b2a8,2166840.1796875,6287.74838248833
2,06,053,011102,2,060530111022,Block Group 2,0,0,0, , ,0,0,6,6,774.27,10,0,73,98,0,0,100,a7056c26-60c0-4133-87a7-b2e1d55eed3f,2247221.19140625,8999.85397144103
3,06,097,151308,4,060971513084,Block Group 4,0,0,0, , ,0,0,2,2,20.12,4,0,62,81,0,0,100,dca228b7-7d1e-4d53-a6b7-0f24fdf9d8e8,442499.14453125,3442.55141565391
4,06,051,000102,2,060510001022,Block Group 2,2,0,2.29,"AS; U", ,17,0,51,223,556.93,231,7.62,96,97,16.99,9,22.87,e45a1027-a086-466e-b1ab-85de2c940c53,707830325.378906,161438.005070638
5,06,097,151309,2,060971513092,Block Group 2,3,2,1.36,"AS; NO3N; TCE","AS; NO3N",1,0,4,4,58.89,191,25,95,88,103.39,36,100,e14fdd61-8f71-463a-8ca8-df5555eef0c1,3758982.64453125,9008.94813081868
6,06,097,151309,3,060971513093,Block Group 3,0,0,0, , ,0,0,5,5,193.64,128,0,93,93,0,0,100,94a0a8bf-93bd-4424-bdb8-c489bdfd4bc8,6479032.0234375,10490.2559802849
7,06,097,151310,1,060971513101,Block Group 1,0,0,0, , ,0,0,2,2,11.78,98,0,92,77,0,0,100,e5549622-394b-4d1b-b098-cc6ac9ed61dd,339160.57421875,2374.94181290173
8,06,097,151310,2,060971513102,Block Group 2,0,0,0, , ,0,0,1,1,16.24,4,0,62,80,0,0,100,1f7f9cf4-a510-4688-8cd0-42cfa7bc757c,624112.25,3633.9818172408
9,06,097,151310,3,060971513103,Block Group 3,0,0,0, , ,0,0,2,2,3.18,98,0,92,65,0,0,100,d6a5e8d3-7590-4cd8-b399-d73181ac0777,565937.0546875,3689.99943157684
10,06,053,011202,2,060530112022,Block Group 2,2,3,3.93,"NO3N; TCPR123","U; SE; ALPHA",4,0,4,4,177.53,18,100,79,93,389.28,82,100,bdc80243-bb10-4436-b6fd-acae203e8455,3817308.3828125,8869.89997175569
11,06,053,011302,1,060530113021,Block Group 1,1,1,1.97,NO3N,NO3N,2,1,4,4,26.09,2,62.5,50,83,106.08,37,100,13b1044b-58b5-48f5-b588-09f1710d9068,1607432.05078125,6864.35981888272
12,06,097,151502,5,060971515025,Block Group 5,0,0,0, , ,0,0,4,4,5.23,80,0,90,69,0,0,100,5f8ebd41-0221-433f-a4d9-ed4635e5bd9e,497173.78125,3345.18870508937
13,06,097,151502,6,060971515026,Block Group 6,0,0,0, , ,0,0,3,3,66.95,52,0,87,89,0,0,100,3309788b-a6a8-4db5-8f8e-0919f732f8b6,1780897.45703125,6762.11216720552
14,06,001,442302,3,060014423023,Block Group 3,0,0,0, , ,0,0,2,2,0.05,2,0,48,42,0,0,100,defad92d-12c9-4977-bcce-03ce47ecde4f,551386.42578125,3632.41465054161
15,06,111,007506,5,061110075065,Block Group 5,2,3,1.24,"NO3N; SE","NO3N; SE; PCATE",1,0,1,2,0,1,50,45,38,181.19,59,50,30bbdb45-9192-409d-891a-c91f9105e9be,711660.734375,4465.47523782276
16,06,013,303201,1,060133032011,Block Group 1,0,0,0,NA,NA,0,0,0,2,10.5,1,0,45,76,0,0,0,ca4ec8f9-7ee0-4f46-a4b3-b9d10829203c,2059493.73046875,6902.69870669287
17,06,013,303103,2,060133031032,Block Group 2,0,1,0, ,ALPHA,0,1,3,3,28.28,32,16.67,84,83,8.33,4,100,0d72e741-0e24-47f7-b9cc-1c6840709d4f,2365063.8828125,7324.2737489309
18,06,013,355110,2,060133551102,Block Group 2,0,0,0,NA,NA,0,0,0,3,5.75,1,0,45,70,0,0,0,9016619e-790d-467e-9cf1-ef16691b52ef,1824105.26171875,6834.13119723215
19,06,097,153003,2,060971530032,Block Group 2,1,1,1.87,PB,NO3N,1,1,4,4,49.73,105,37.5,92,87,63.25,27,100,4d9c0bcc-0d75-4cbc-a2f3-d1b291c6d4f5,667356.921875,7144.37444600786
20,06,097,153003,3,060971530033,Block Group 3,1,1,1.87,PB,NO3N,1,1,3,3,40.93,67,50,89,86,84.33,33,100,b571f11d-d6d0-497d-9fff-3d58b7e932ac,888865.5546875,5547.65165434337
21,06,097,153003,4,060971530034,Block Group 4,1,0,1.87,PB, ,1,0,2,2,133.13,60,50,89,92,59.33,26,100,5405c5d1-82e6-40b8-b942-6b54f0cf897d,857644.4921875,3895.5457639645
22,06,097,153005,4,060971530054,Block Group 4,1,0,1.07,AS, ,1,0,2,2,40.64,195,50,95,86,55.35,23,100,433308bf-2c2f-4117-96e6-4b53d7329d28,690950.66015625,4448.05406460843
23,06,065,030104,2,060650301042,Block Group 2,3,2,1.94,"DBCP; NO3N; TCPR123","NO3N; TCPR123",3,0,3,3,1.99,15,100,77,60,419.37,83,100,66f854e7-1aeb-43c2-b66e-f00f579d6b9d,1252068.5234375,5753.92827194524
24,06,065,031501,5,060650315015,Block Group 5,2,0,1.62,"NO3N; PCATE", ,2,0,2,2,0.02,4,100,60,40,216.17,64,100,3895774f-cdc4-41f6-afd4-32e22b8c9e13,340494.05859375,2401.33661775587
25,06,111,007512,2,061110075122,Block Group 2,2,3,1.24,"NO3N; SE","NO3N; SE; PCATE",1,0,1,1,0.86,1,100,45,54,362.38,80,100,fb01289a-9f4d-4bdd-ae41-24c8a8a55760,1433246.68359375,5134.02856310591
26,06,111,002200,3,061110022003,Block Group 3,0,0,0,NA,NA,0,0,0,4,0,1,0,48,37,0,0,0,09699d86-a927-46a6-8a51-b9a74b7fce5e,2622515.25,7419.04668057719
27,06,111,002300,4,061110023004,Block Group 4,0,0,0,NA,NA,0,0,0,5,0,3,0,59,37,0,0,0,b35a2e1b-6234-4b2b-82cb-0e0b57e2fce8,972029.88671875,6705.62434591669
28,06,111,002901,2,061110029012,Block Group 2,2,3,1.11,"ALPHA; NO3N","ALPHA; NO3N; SE",2,0,3,3,3.36,7,66.67,69,65,240.71,67,100,8ffe387d-bf29-4149-82c9-2805b6ef5087,692044.359375,3786.82625347714
29,06,013,321200,3,060133212003,Block Group 3,0,0,0,NA,NA,0,0,0,1,0,0,0,24,26,0,0,0,bba70307-edff-41b8-9580-e4dc4b2ef5e4,624014.37109375,3761.67732816729
30,06,013,380000,2,060133800002,Block Group 2,0,0,0,NA,NA,0,0,0,5,0,2,0,53,27,0,0,0,4a056709-b1d5-4237-8bcb-0f02f03a3c8e,6419815.0859375,16894.9165237255
31,06,037,187200,2,060371872002,Block Group 2,2,3,1.64,"TCE; PCE","TCE; PCE; NO3N",3,0,3,3,0,2,100,48,39,366.39,81,100,39acda5c-6591-48fc-9f7a-dbdfd7a462f2,807167.40234375,4595.61472597269
32,06,037,187300,1,060371873001,Block Group 1,2,3,1.64,"TCE; PCE","TCE; PCE; NO3N",4,0,4,4,0,2,100,48,38,366.39,81,100,53c6f6d4-e921-4216-a820-03c272eea12d,1035827.76171875,7371.00396547067
33,06,037,187300,2,060371873002,Block Group 2,2,3,1.64,"TCE; PCE","TCE; PCE; NO3N",2,0,2,2,0,0,100,3,3,366.39,81,100,e54499fc-fc5b-4aaf-9633-07e59a5882f0,673149.49609375,4141.35370789762
34,06,013,351102,3,060133511023,Block Group 3,0,0,0, , ,0,0,2,3,5.27,4,0,59,70,0,0,66.67,01c29767-3ba8-47e0-8899-9ca218de919a,1241433.75390625,6020.94287634155
35,06,013,345204,1,060133452041,Block Group 1,0,0,0, , ,0,0,3,6,9.36,21,0,80,75,0,0,50,65c4e35a-a6f8-4df0-8cc3-58d23c256631,7095681.01953125,12745.0857889018
36,06,013,340001,2,060133400012,Block Group 2,0,0,0,NA,NA,0,0,0,4,0.6,6,0,68,51,0,0,0,e3b78a71-f3f0-420b-ab07-b9021d35bad0,1234338.58203125,5003.62671374117
37,06,037,543702,4,060375437024,Block Group 4,0,0,0, , ,0,0,2,2,0,0,0,10,9,0,0,100,99ef6d40-9546-4b62-ba0e-266d994280fd,395282.07421875,3312.33557024537
38,06,037,543702,5,060375437025,Block Group 5,0,1,0, ,CN,0,2,4,4,0.79,0,25,10,53,12.5,6,100,c11331fe-c610-495a-a805-ca8e78d61078,307132.16796875,2819.33773263474
39,06,037,543703,1,060375437031,Block Group 1,0,0,0, , ,0,0,4,4,0.42,0,0,10,49,0,0,100,50aeda2d-f1ff-45cc-8838-d624f9366b86,1505220.37890625,4987.54041642166
40,06,037,204300,2,060372043002,Block Group 2,0,0,0, , ,0,0,2,2,0,0,0,3,3,0,0,100,fdf07c71-2289-459d-9d5d-d75485cd41aa,272915.81640625,2100.69725493219
41,06,037,204300,3,060372043003,Block Group 3,0,0,0, , ,0,0,1,1,0.44,0,0,3,50,0,0,100,63f49f2d-b973-4cd2-993f-18ba59b36e7d,284498.1015625,2143.65108734914
42,06,037,204300,4,060372043004,Block Group 4,0,0,0, , ,0,0,1,1,3.18,0,0,3,65,0,0,100,f713ff23-94fc-4e30-a71e-b26c517a9e7a,166700.828125,1652.4431028297
43,06,037,204410,1,060372044101,Block Group 1,0,0,0, , ,0,0,1,2,4.68,0,0,3,68,0,0,50,3005a93f-8157-478b-b29e-9806d347efd2,288924.88671875,2498.80215003825
44,06,037,204410,2,060372044102,Block Group 2,0,0,0, , ,0,0,1,2,1.85,0,0,3,60,0,0,50,e40b114a-2a54-417f-8bfb-30b4b7564cdd,144578.015625,2188.92205325689
45,06,037,204600,1,060372046001,Block Group 1,1,0,1.54,CTCL, ,1,0,2,2,0,0,50,3,38,57.7,25,100,90aa5ce3-ba15-4dc9-8077-8fb2b71dfbdf,451086.4609375,3226.5385964777
46,06,037,204600,2,060372046002,Block Group 2,0,0,0, , ,0,0,1,1,2.19,0,0,3,61,0,0,100,4ffc017a-a3e3-4c9d-872c-f9dd52701aed,399270.65234375,2969.95815139723
47,06,111,005908,1,061110059081,Block Group 1,0,0,0, , ,0,0,2,2,1.8,21,0,81,59,0,0,100,f3b4445a-e25f-4cd7-947f-7d47ad82fa0b,1531793.03125,5406.56597044874
48,06,097,153005,5,060971530055,Block Group 5,2,0,1.47,"PB; AS", ,2,0,4,4,46.69,255,50,96,87,107.34,38,100,b7a7481a-a8fb-4777-84b7-ba7dba7c0d25,848905.97265625,5268.74278292951
49,06,097,153005,6,060971530056,Block Group 6,2,0,1.47,"PB; AS", ,2,0,2,2,13.3,36,100,85,78,214.68,63,100,c5a4d25d-0e41-4d72-a02f-681fbf4aedde,496845.21484375,3132.49882092849
