OBJECTID,ACRES,FIRE_ID,FIRE_NAME,YEAR,STARTMONTH,STARTDAY,FIRE_TYPE,IRWINID,MAP_ID,MAP_PROG,ASMNT_TYPE,IG_DATE,PRE_ID,POST_ID,PERIM_ID,DNBR_OFFST,DNBR_STDDV,NODATA_THRESHOLD,GREENNESS_THRESHOLD,LOW_THRESHOLD,MODERATE_THRESHOLD,HIGH_THRESHOLD,COMMENTS,LATITUDE,LONGITUDE,SHAPEAREA,SHAPELEN
20718,3418,AK5761615232120150828,TWIN CREEKS,2015,8,28,Wildfire,687AFCA7-BA13-47FA-A031-207CF36282B6,26151,MTBS,Extended,20150828,806902020130922,806902020160829,706902020150920,-65,26,-970,-150,50,297,570,,57.604,-152.322,0.00207795309778576,0.54888534199046
20719,5335,AK5884115754320150622,COPENHAGEN CREEK,2015,6,22,Wildfire,4E0DB844-F9BC-4C32-8412-96146C4832B4,26307,MTBS,Extended (SS),20150622,,807201920160717,,-9999,-9999,9999,9999,430,200,-9999,,58.835,-157.556,0.00335639041854833,0.415450840906953
20720,9683,AK5884415640120150621,PAULS CREEK,2015,6,21,Wildfire,83411C81-A862-47DA-96C7-611521AAE54F,26314,MTBS,Extended,20150621,807201920130709,807201920160615,807201920150901,-64,36,-970,-150,30,290,570,,58.853,-156.422,0.0060948307496451,0.681354291858732
20721,3207,AK5890415740520150704,COPENHAGEN,2015,7,4,Wildfire,3E546BC0-7318-4D2B-8318-EED0896C812E,26310,MTBS,Extended,20150704,807201920130709,807201920160717,807201920150901,-80,12,-970,-150,20,275,550,,58.915,-157.443,0.00202250139467286,0.449501901869752
20722,16919,AK5925816024020150622,GECHIAK LAKE,2015,6,22,Wildfire,390ED0A0-5970-4E3E-9645-F8F5A3887844,26297,MTBS,Extended,20150622,807501920130730,807401920160613,807501920150805,26,16,-970,-150,50,281,540,,59.28,-160.233,0.0107837581172593,0.839659151724242
20723,2233,AK5955415836020150711,LITTLE KOKWOK,2015,7,11,Wildfire,7E194CAA-B6B3-4F00-A610-7DF224FAFFBE,26340,MTBS,Extended,20150711,807301820140804,807301820160910,,86,21,-970,-150,90,393,720,,59.574,-158.358,0.00143555311985839,0.196020525323004
20724,1923,AK5960815825420150621,KOKWOK RIVER,2015,6,21,Wildfire,807660E8-1647-4F72-B62F-B1C54CF610CB,26338,MTBS,Extended,20150621,807301820140804,807301820160910,707301820150831,93,28,-970,-150,40,380,730,,59.615,-158.246,0.00123783850088817,0.292749448325264
20725,1617,AK6025715983220150620,LITTLE SWIFT CREEK,2015,6,20,Wildfire,AA59596A-B38B-4613-A1EC-B02EBFCF3E48,26652,MTBS,Extended,20150620,807401820130824,807401820160901,,39,21,-970,-150,110,309,550,,60.267,-159.815,0.00106133122668057,0.230613731078657
20726,2418,AK6030315782720150623,KING SALMON RIVER 1,2015,6,23,Wildfire,06D4280C-4A1F-4202-84D7-608A919DCE5C,26342,MTBS,Extended,20150623,807301820140804,807301820160910,,66,17,-970,-150,80,314,580,,60.304,-157.814,0.00158913672301371,0.312706615069676
20727,7366,AK6051015063620150615,CARD STREET,2015,6,15,Wildfire,B281A9C0-9062-4D03-9ECB-3194B80BE3E1,26154,MTBS,Extended,20150615,806901820130618,806901820160712,806901820150624,-88,42,-970,-150,50,302,580,,60.492,-150.545,0.0048675927531683,1.04933145770476
20728,4628,AK6070715747820150622,CHICHITNOK RIVER,2015,6,22,Wildfire,AD5B2F00-B151-4D61-BA03-43A68E8804E6,26339,MTBS,Extended,20150622,807301820140804,807301820160910,,86,30,-970,-150,50,313,600,,60.685,-157.474,0.00307604605971898,0.742976350220901
