OBJECTID,Proponent,Branch,Base,Facility,Airspace,Reason,State,POC,FAA_ID,Floor,Ceiling,County,Shape__Area,Shape__Length
1,DOD,USMC,Marine Corps Air Station New River,MCAS New River 2,D,NATIONAL SECURITY,NC,Command Duty Officer (910) 449-6603,20170410-DOD-New River-MCAS New River 2,Surface,400' AGL,ONSLOW,0.0028020764334542,0.246706092983266
2,DOD,USN,NAS Key West,Truman Annex,D,NATIONAL SECURITY,FL,NAS Key West CDO 305 797-4428,20161222-DOD-Key West-Truman Annex,Surface,400' AGL,MONROE,3.0173447157722e-05,0.0252293169357986
3,DOD,USN,NAS Key West,Boca Chica,D,NATIONAL SECURITY,FL,NAS Key West CDO 305 797-4428,20161222-DOD-Key West-Boca Chica,Surface,400' AGL,MONROE,0.00116723253313467,0.158020013349204
4,DOD,USN,NAS Key West,Trumbo Point,D,NATIONAL SECURITY,FL,NAS Key West CDO 305 797-4428,20161222-DOD-Key West-Trumbo Point,Surface,400' AGL,MONROE,9.40077297855169e-05,0.0635840878732216
5,DOD,USN,NAS C.C.,NOLF WALDRON,D,NATIONAL SECURITY,TX,NAS CC CDO 361 534-9093,20161222-DOD-Corpus Christi-NOLF WALDRON,Surface,400' AGL,NUECES,0.000212577168213102,0.0585296020750957
6,DOD,USN,NAS C.C.,KNGP,D/E2,NATIONAL SECURITY,TX,NAS CC CDO 361 534-9093,20161222-DOD-Corpus Christi-KNGP,Surface,400' AGL,NUECES,0.000915746610871793,0.137830222905536
7,DOD,USN,NAS C.C.,NOLF CABANISS,D,NATIONAL SECURITY,TX,NAS CC CDO 361 534-9093,20161222-DOD-Corpus Christi-NOLF CABANISS,Surface,400' AGL,NUECES,0.000275169139968057,0.0822486555654407
8,DOD,USN,NAS Kingsville,KNOG,D,NATIONAL SECURITY,TX,"NAS Kingsville CDO 361-218-7182, LT Scott Powell 361-516-6124",20161222-DOD-Kingsville-KNOG,Surface,400' AGL,JIM WELLS,0.000486241230873929,0.163225739810848
9,DOD,USN,NAS C.C.,NOLF GOLIAD,G,NATIONAL SECURITY,TX,NAS CC CDO 361 534-9093,20161222-DOD-Corpus Christi-NOLF GOLIAD,Surface,400' AGL,GOLIAD,0.000388669048561496,0.145453687838327
10,DOD,USAF,Laughlin AFB,Laughlin AFB Aux,G,NATIONAL SECURITY,TX,"47 OSS/OSA, Laughlin Airfield Operations (830) 298-5052    Emergency: Laughlin AFB Command Post    47 FTW/CP   (830) 298-5167",20161222-DOD-Laughlin AFB  Aux Field (T70) Spofford-Laughlin AFB Aux,Surface,400' AGL,KINNEY,0.000147668047929983,0.060555780834328
11,DOD,USAF,Laughlin AFB,Laughlin AFB Aux,C,NATIONAL SECURITY,TX,"47 OSS/OSA, Laughlin Airfield Operations (830) 298-5052    Emergency: Laughlin AFB Command Post     47 FTW/CP   (830) 298-5167",20161222-DOD-Laughlin AFB  Aux Field (T70) Spofford-Laughlin AFB Aux,Surface,400' AGL,VAL VERDE,0.00138827477303494,0.14809910860834
12,DOD,USAF,"Seguin Auxiliary Field (KSEQ), TX (Has AF Lease for Model Aviation Club) (AUX)",Seguin Auxiliary,G,NATIONAL SECURITY,TX,"12 OSS/OSA Airfield Operations Manager (210) 652-7952             Alternate; 12 OSS/OSAS, Airspace Manager (210) 652-5580                                   Emergency: Joint Base-San Antonio Command Post, 502 ABW/CP,  (210) 221-9364 or 9365",20161222-DOD-Seguin Auxiliary Field (KSEQ)-Seguin Auxiliary,Surface,400' AGL,GUADALUPE,0.000312105230477755,0.112342608451374
13,DOD,USN,NAS JRB NO,KNGB,D/E2,NATIONAL SECURITY,LA,NAS JRB New Orleans:  504 657-7913,20161222-DOD-New Orleans-KNGB,Surface,400' AGL,PLAQUEMINES,0.00101160302324388,0.143882873695261
14,DOD,USA,Camp Blanding,Blanding AAF,G,NATIONAL SECURITY,FL,"LTC Jerry Lewis, 404 305-6916          Barney Owens 703 806-4865",20161222-DOD-Camp Blanding-Blanding AAF,Surface,400' AGL,CLAY,0.026669639114516,0.734611935797267
15,DOD,USN,Whiting Field,NOLF Wolf,G,NATIONAL SECURITY,AL,NASWF CDO (850)382-4966,20161222-DOD-Whiting-NOLF Wolf,Surface,400' AGL,BALDWIN,0.000126475993283748,0.0720319468390583
16,DOD,USN,Pensacola,NAS Pensacola,C,NATIONAL SECURITY,FL,NAS Pensacola CDO 850 418-5175,20161222-DOD-Pensacola-NAS Pensacola,Surface,400' AGL,ESCAMBIA,0.00174333322183884,0.204400487803991
17,DOD,USN,Whiting Field,NOLF Barin,G,NATIONAL SECURITY,AL,NASWF CDO (850)382-4966,20161222-DOD-Whiting-NOLF Barin,Surface,400' AGL,BALDWIN,0.000260085130094012,0.106483753965232
18,DOD,USN,NS Mayport,NS Mayport,D,NATIONAL SECURITY,FL,NAVSTA Mayport CDO 904 219-9705,20161222-DOD-Mayport-NS Mayport,Surface,400' AGL,DUVAL,0.000833200555916847,0.121022992339922
19,DOD,USMC,MCSF Blount Island,MCSF Blount Island,D,NATIONAL SECURITY,FL,Command Duty Officer (904) 696-5100,20161222-DOD-Blount Island-Entire Island Notes:  This non-aviation facility is located within the Mayport Naval Station (NRB) CDSA.  NRB CDSA hours are not continuous.,Surface,400' AGL,DUVAL,0.00034503991469137,0.0789776990937657
20,DOD,USAF,Keesler AFB,Keesler AFB,D,NATIONAL SECURITY,MS,"Primary: Capt. Sam Walker (228) 377-5460                 sam.walker@us.af.mil                                                         Alternate:   D. Scott Wilson, (210) 652-5539 david.wilson.123@us.af.mil",20161222-DOD-Keesler AFB-Keesler AFB,Surface,400' AGL,HARRISON,0.000501128841733589,0.106998370049376
