FID,OperatorNa,Shape_Leng
2001,El Paso Natural Gas Co,0.082778
2002,El Paso Natural Gas Co,0.171165
2003,El Paso Natural Gas Co,0.169685
2004,El Paso Natural Gas Co,0.286249
2005,El Paso Natural Gas Co,0.128482
2006,El Paso Natural Gas Co,0.288889
2007,El Paso Natural Gas Co,0.083633
2008,El Paso Natural Gas Co,0.114725
2009,El Paso Natural Gas Co,0.453638
2010,El Paso Natural Gas Co,0.066943
2011,El Paso Natural Gas Co,0.291847
2012,El Paso Natural Gas Co,0.125526
2013,El Paso Natural Gas Co,0.578996
2014,El Paso Natural Gas Co,0.262158
2015,The Exploration Co,0.013701
2016,The Exploration Co,0.031893
2017,The Exploration Co,0.036243
2018,The Exploration Co,0.274763
2019,The Exploration Co,0.093595
2020,The Exploration Co,0.210841
2021,The Exploration Co,0.021402
2022,The Exploration Co,0.084432
2023,The Exploration Co,0.018418
2024,The Exploration Co,0.229194
2025,The Exploration Co,0.634355
2026,The Exploration Co,0.084958
2027,The Exploration Co,0.037555
2028,The Exploration Co,0.025077
2029,The Exploration Co,0.023263
2030,The Exploration Co,0.117805
2031,The Exploration Co,0.003332
2032,The Exploration Co,0.054682
2033,The Exploration Co,0.022224
2034,The Exploration Co,0.027236
2035,The Exploration Co,0.020437
2036,The Exploration Co,0.022795
2037,The Exploration Co,0.035169
2038,Oasis / Energy Transfer Co,0.01666
2039,Oasis / Energy Transfer Co,0.006513
2040,Oasis / Energy Transfer Co,0.008621
2041,Oasis / Energy Transfer Co,0.008134
2042,Oasis / Energy Transfer Co,0.025345
2043,Oasis / Energy Transfer Co,0.85438
2044,Atmos Pipeline - Texas,0.509473
2045,Oasis / Energy Transfer Co,0.364078
2046,Atmos Pipeline - Texas,0.426225
2047,Oasis / Energy Transfer Co,0.102751
2048,Oasis / Energy Transfer Co,0.051411
2049,Atmos Pipeline - Texas,0.470041
2050,El Paso Texas Pipeline Co,0.460678
2051,Oasis / Energy Transfer Co,0.043982
2052,El Paso Texas Pipeline Co,0.075411
2053,Oasis / Energy Transfer Co,0.03103
2054,El Paso Texas Pipeline Co,0.032645
2055,Oasis / Energy Transfer Co,0.025947
2056,Atmos Pipeline - Texas,0.575467
2057,El Paso Texas Pipeline Co,0.047878
2058,Oasis / Energy Transfer Co,0.018546
2059,Oasis / Energy Transfer Co,0.243172
2060,El Paso Texas Pipeline Co,0.061638
2061,Oasis / Energy Transfer Co,0.340081
2062,Atmos Pipeline - Texas,0.153523
2063,El Paso Texas Pipeline Co,0.041994
2064,El Paso Texas Pipeline Co,0.066036
2065,Atmos Pipeline - Texas,0.028602
2066,Oasis / Energy Transfer Co,0.296041
2067,Atmos Pipeline - Texas,0.042598
2068,El Paso Texas Pipeline Co,0.015905
2069,Oasis / Energy Transfer Co,0.288196
2070,El Paso Texas Pipeline Co,0.051929
2071,El Paso Texas Pipeline Co,0.077684
2072,Oasis / Energy Transfer Co,0.299327
2073,El Paso Texas Pipeline Co,0.009493
2074,Oasis / Energy Transfer Co,0.02474
2075,Atmos Pipeline - Texas,0.19293
2076,El Paso Texas Pipeline Co,0.058642
2077,Oasis / Energy Transfer Co,0.023522
2078,El Paso Texas Pipeline Co,0.02797
2079,Oasis / Energy Transfer Co,0.013899
2080,El Paso Texas Pipeline Co,0.016118
2081,Oasis / Energy Transfer Co,0.007301
2082,Atmos Pipeline - Texas,0.06603
2083,El Paso Texas Pipeline Co,0.043012
2084,Oasis / Energy Transfer Co,0.01666
2085,Atmos Pipeline - Texas,0.065732
2086,El Paso Texas Pipeline Co,0.026508
2087,Oasis / Energy Transfer Co,0.006513
2088,Atmos Pipeline - Texas,0.032489
2089,Oasis / Energy Transfer Co,0.008134
2090,Atmos Pipeline - Texas,0.758418
2091,El Paso Texas Pipeline Co,0.0169
2092,Oasis / Energy Transfer Co,0.021085
2093,Atmos Pipeline - Texas,0.420848
2094,El Paso Texas Pipeline Co,0.019775
2095,Oasis / Energy Transfer Co,0.018489
2096,Atmos Pipeline - Texas,0.087256
2097,El Paso Texas Pipeline Co,0.018295
2098,Atmos Pipeline - Texas,0.253107
2099,Oasis / Energy Transfer Co,0.011824
2100,El Paso Texas Pipeline Co,0.022503
2101,Atmos Pipeline - Texas,0.080687
2102,Oasis / Energy Transfer Co,0.019267
2103,Atmos Pipeline - Texas,0.105252
2104,Atmos Pipeline - Texas,0.110702
2105,Atmos Pipeline - Texas,0.097832
2106,Atmos Pipeline - Texas,0.164363
2107,Atmos Pipeline - Texas,0.072256
2108,Atmos Pipeline - Texas,0.335981
2109,Atmos Pipeline - Texas,0.014169
2110,Atmos Pipeline - Texas,0.135188
2111,Atmos Pipeline - Texas,0.565831
2112,El Paso Texas Pipeline Co,0.026431
2113,Oasis / Energy Transfer Co,0.010156
2114,El Paso Texas Pipeline Co,0.034455
2115,Oasis / Energy Transfer Co,0.004812
2116,Atmos Pipeline - Texas,0.379395
2117,El Paso Texas Pipeline Co,0.036852
2118,Oasis / Energy Transfer Co,0.025345
2119,El Paso Texas Pipeline Co,0.088935
2120,Oasis / Energy Transfer Co,0.102751
2121,El Paso Texas Pipeline Co,0.052544
2122,Atmos Pipeline - Texas,0.204334
2123,Oasis / Energy Transfer Co,0.051411
2124,El Paso Texas Pipeline Co,0.13025
2125,Oasis / Energy Transfer Co,0.043982
2126,El Paso Texas Pipeline Co,0.059855
2127,Atmos Pipeline - Texas,0.186312
2128,Oasis / Energy Transfer Co,0.03103
2129,El Paso Texas Pipeline Co,0.055255
2130,Atmos Pipeline - Texas,0.263864
2131,Oasis / Energy Transfer Co,0.025947
2132,El Paso Texas Pipeline Co,0.165712
2133,Atmos Pipeline - Texas,0.061931
2134,El Paso Texas Pipeline Co,0.108927
2135,Atmos Pipeline - Texas,0.09847
2136,Oasis / Energy Transfer Co,0.119979
2137,El Paso Texas Pipeline Co,0.072338
2138,Oasis / Energy Transfer Co,0.292988
2139,Atmos Pipeline - Texas,0.313734
2140,El Paso Texas Pipeline Co,0.142635
2141,Oasis / Energy Transfer Co,0.113626
2142,El Paso Texas Pipeline Co,0.146755
2143,Oasis / Energy Transfer Co,0.026301
2144,Atmos Pipeline - Texas,0.505116
2145,Oasis / Energy Transfer Co,0.053443
2146,El Paso Texas Pipeline Co,0.022686
2147,Oasis / Energy Transfer Co,0.093716
2148,Atmos Pipeline - Texas,0.271471
2149,El Paso Texas Pipeline Co,0.086365
2150,Oasis / Energy Transfer Co,0.060992
2151,Atmos Pipeline - Texas,0.063514
2152,Oasis / Energy Transfer Co,0.086073
2153,El Paso Texas Pipeline Co,0.272518
2154,Atmos Pipeline - Texas,0.463853
2155,El Paso Texas Pipeline Co,0.043283
2156,Oasis / Energy Transfer Co,0.167362
2157,El Paso Texas Pipeline Co,0.048902
2158,Oasis / Energy Transfer Co,0.080998
2159,Atmos Pipeline - Texas,0.035946
2160,El Paso Texas Pipeline Co,0.083724
2161,Oasis / Energy Transfer Co,0.202458
2162,Atmos Pipeline - Texas,0.149581
2163,Atmos Pipeline - Texas,0.271571
2164,El Paso Texas Pipeline Co,0.102446
2165,Oasis / Energy Transfer Co,0.094737
2166,El Paso Texas Pipeline Co,0.021982
2167,Oasis / Energy Transfer Co,0.145571
2168,Atmos Pipeline - Texas,0.151516
2169,El Paso Texas Pipeline Co,0.056266
2170,Oasis / Energy Transfer Co,0.036948
2171,Atmos Pipeline - Texas,0.347703
2172,El Paso Texas Pipeline Co,0.084946
2173,Oasis / Energy Transfer Co,0.094408
2174,El Paso Texas Pipeline Co,0.022743
2175,Atmos Pipeline - Texas,0.10931
2176,Oasis / Energy Transfer Co,0.064027
2177,El Paso Texas Pipeline Co,0.05713
2178,El Paso Texas Pipeline Co,0.04689
2179,Atmos Pipeline - Texas,0.027144
2180,Oasis / Energy Transfer Co,0.05409
2181,El Paso Texas Pipeline Co,0.025847
2182,El Paso Texas Pipeline Co,0.031569
2183,Oasis / Energy Transfer Co,0.041233
2184,Atmos Pipeline - Texas,0.065476
2185,El Paso Texas Pipeline Co,0.018486
2186,El Paso Texas Pipeline Co,0.088089
2187,Oasis / Energy Transfer Co,0.074177
2188,El Paso Texas Pipeline Co,0.237674
2189,Atmos Pipeline - Texas,0.080881
2190,El Paso Texas Pipeline Co,0.047445
2191,El Paso Texas Pipeline Co,0.449824
2192,El Paso Texas Pipeline Co,0.057658
2193,Atmos Pipeline - Texas,0.315907
2194,El Paso Texas Pipeline Co,0.312772
2195,El Paso Texas Pipeline Co,0.032673
2196,El Paso Texas Pipeline Co,0.103384
2197,El Paso Texas Pipeline Co,0.100825
2198,El Paso Texas Pipeline Co,0.02694
2199,El Paso Texas Pipeline Co,0.056096
2200,Atmos Pipeline - Texas,0.194851
2201,Atmos Pipeline - Texas,0.020425
2202,El Paso Texas Pipeline Co,0.086335
2203,El Paso Texas Pipeline Co,0.060787
2204,El Paso Texas Pipeline Co,0.036851
2205,El Paso Texas Pipeline Co,0.051364
2206,El Paso Texas Pipeline Co,0.057359
2207,Atmos Pipeline - Texas,0.013675
2208,El Paso Texas Pipeline Co,0.053842
2209,El Paso Texas Pipeline Co,0.076468
2210,El Paso Texas Pipeline Co,0.064434
2211,El Paso Texas Pipeline Co,0.068496
2212,El Paso Texas Pipeline Co,0.036406
2213,Atmos Pipeline - Texas,0.087076
2214,El Paso Texas Pipeline Co,0.061713
2215,El Paso Texas Pipeline Co,0.147463
2216,El Paso Texas Pipeline Co,0.010192
2217,Atmos Pipeline - Texas,0.081211
2218,El Paso Texas Pipeline Co,0.183144
2219,El Paso Texas Pipeline Co,0.045094
2220,El Paso Texas Pipeline Co,0.119226
2221,Atmos Pipeline - Texas,0.035443
2222,El Paso Texas Pipeline Co,0.194731
2223,El Paso Texas Pipeline Co,0.047419
2224,Atmos Pipeline - Texas,0.033795
2225,El Paso Texas Pipeline Co,0.059041
2226,El Paso Texas Pipeline Co,0.085427
2227,Atmos Pipeline - Texas,0.076501
2228,El Paso Texas Pipeline Co,0.0471
2229,El Paso Texas Pipeline Co,0.061477
2230,Atmos Pipeline - Texas,0.245447
2231,El Paso Texas Pipeline Co,0.020067
2232,Atmos Pipeline - Texas,0.151635
2233,El Paso Texas Pipeline Co,0.154138
2234,Atmos Pipeline - Texas,0.198531
2235,El Paso Texas Pipeline Co,0.240205
2236,El Paso Texas Pipeline Co,0.086565
2237,Oasis Gas Pipeline Co,0.018489
2238,Atmos Pipeline - Texas,0.502159
2239,El Paso Texas Pipeline Co,0.120844
2240,El Paso Texas Pipeline Co,0.01421
2241,Oasis Gas Pipeline Co,0.011824
2242,El Paso Texas Pipeline Co,0.058791
2243,El Paso Texas Pipeline Co,0.052324
2244,Atmos Pipeline - Texas,0.067343
2245,Oasis Gas Pipeline Co,0.019267
2246,El Paso Texas Pipeline Co,0.046114
2247,Natural Gas PL Co of Am,0.116195
2248,Oasis Gas Pipeline Co,0.010156
2249,El Paso Texas Pipeline Co,0.130677
2250,El Paso Texas Pipeline Co,0.096961
2251,El Paso Texas Pipeline Co,0.031154
2252,Oasis Gas Pipeline Co,0.004812
2253,Natural Gas PL Co of Am,0.055424
2254,El Paso Texas Pipeline Co,0.033146
2255,Natural Gas PL Co of Am,0.068069
2256,Oasis Gas Pipeline Co,0.025345
2257,El Paso Texas Pipeline Co,0.041251
2258,El Paso Texas Pipeline Co,0.030874
2259,Natural Gas PL Co of Am,0.063054
2260,El Paso Texas Pipeline Co,0.114094
2261,Oasis Gas Pipeline Co,0.85438
2262,El Paso Texas Pipeline Co,0.147465
2263,Natural Gas PL Co of Am,0.181335
2264,El Paso Texas Pipeline Co,0.191579
2265,Northern Natural Gas Co,0.142047
2266,Oasis Gas Pipeline Co,0.364078
2267,El Paso Texas Pipeline Co,0.041298
2268,El Paso Texas Pipeline Co,0.142311
2269,El Paso Texas Pipeline Co,0.089048
2270,El Paso Texas Pipeline Co,0.02123
2271,Northern Natural Gas Co,0.047818
2272,Oasis Gas Pipeline Co,0.102751
2273,El Paso Texas Pipeline Co,0.046893
2274,Northern Natural Gas Co,0.208218
2275,El Paso Texas Pipeline Co,0.025052
2276,Oasis Gas Pipeline Co,0.051411
2277,El Paso Texas Pipeline Co,0.160123
2278,Northern Natural Gas Co,0.157791
2279,El Paso Texas Pipeline Co,0.02688
2280,Oasis Gas Pipeline Co,0.043982
2281,El Paso Texas Pipeline Co,0.054089
2282,Northern Natural Gas Co,0.163663
2283,El Paso Texas Pipeline Co,0.15363
2284,Oasis Gas Pipeline Co,0.03103
2285,El Paso Texas Pipeline Co,0.061049
