X,Y,OBJECTID,TNF_LS_NO,SLIDE_NO,INVENTORY,CONFID_DAT,YR_INT_TYP,YR_OCCURANCE,LATEST_YEAR_NOTSEEN,FIRST_YEAR_SEEN,TREATMENT,RD_RELATED,STRM_IMPAC,PRED_COVER,COVER_SPP,COVER_PERCENT,FAIL_TYPE,VEG_CLASS,EXAMINER,SLOPE_PER,SLOPE_SHA,BDRK_F_ZON,PM_F_ZONE,LANDSLIDE_NAME,LANDWEHR_N,GROUPED_SL,RECURRANCE,NUMBER_
-133.457176255069,55.2331314658705,36223,21,C0021,C04,E000-1948,2006P,-1948,,1948,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,PV,Becki Saari,,,,,,,,,
-133.456319364925,55.2353041549803,36224,22,C0022,C04,E000-1948,2006P,-1948,,1948,N,N,N,BATR,PISI,100,SOAR-DEAV-FLOW,CO,Becki Saari,,,,,,,,,
-133.424148729608,55.3064911991622,36225,37,C0037,C04,E000-1948,2006P,-1948,,1948,N,N,Y,BATR,PISI,100,TRZO-DEFL-FLOW,CO,Becki Saari,,,,,,,,,
-133.443406523415,55.3036911854356,36226,38,C0038,C04,E000-1948,2006P,-1948,,1948,N,N,Y,BATR,PISI,100,SOAR-DEAV-FLOW,CO,Becki Saari,,,,,,,,,
-133.41340320616,55.3057748756962,36227,80,C0079,C04,E000-1948,2006P,-1948,,1948,N,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Becki Saari,,,,,,,,,
-133.398019502752,55.2352449812694,36228,93,C0092,C04,E000-1948,2006P,-1948,,1948,N,N,Y,BATR,ALRU2,100,SOAR-DEFL-FLOW,AL,Becki Saari,,,,,,,,,
-133.376001248202,55.303484255034,36229,121,C0120,C04,E00001960,2006P,1960,1948,1971,N,N,Y,BATR,ALRU2,100,TRZO-DEFL-FLOW,AL,Becki Saari,,,,,,,,,
-133.37161303092,55.3039011376564,36230,122,C0121,C04,E000-1948,2006P,-1948,,1948,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Becki Saari,,,,,,,,,
-133.390310203615,55.3078224719731,36231,124,C0123,C04,E000-1948,2006P,-1948,,1948,N,N,Y,BATR,ALRU2,100,SOAR-DEFL-FLOW,AL,Becki Saari,,,,,,,,,
-133.343584022922,55.2350826690079,36232,159,C0158,C04,E000-1948,2006P,-1948,,1948,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Becki Saari,,,,,,,,,
-133.455342731297,55.3051174177278,36233,257,C0257,C04,E00001988,2006P,1988,1985,1990,N,N,Y,BATR,ALRU2,100,SOAR-DEFL-FLOW,AL,Becki Saari,,,,,,,,,
-133.444356340304,55.3077809132773,36234,267,C0267,C04,E000-1948,2006P,-1948,,1948,N,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Becki Saari,,,,,,,,,
-133.404216230912,55.2341083693946,36235,280,C0280,C04,E00001960,2006P,1960,1948,1971,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Becki Saari,,,,,,,,,
-133.400891966606,55.2342124408666,36236,281,C0281,C04,E000-1948,2006P,-1948,,1948,N,N,Y,BATR,ALRU2,100,SOAR-DEFL-FLOW,AL,Becki Saari,,,,,,,,,
-133.365701293132,55.3081024264753,36237,297,C0297,C04,E000-1948,2006P,-1948,,1948,N,N,Y,BATR,ALRU2,100,SOAR-DEFL-FLOW,AL,Becki Saari,,,,,,,,,
-133.343880033281,55.2335373259739,36238,305,C0305,C04,E000-1948,2006P,-1948,,1948,N,N,Y,BATR,ALRU2,40,TRZO-DEFL-FLOW,PV,Becki Saari,,,,,,,,,
-133.349344052171,55.305299353819,36239,325,C0325,C04,E00001991,2006P,1991,1985,1997,N,N,Y,BATR,ALRU2,40,TRZO-DEFL-FLOW,PV,Becki Saari,,,,,,,,,
-133.406208526952,55.3047513917264,36240,730,C0732,C05,E000-1948,2002F,-1948,,1948,N,N,Y,BATR,PISI,100,TRZO-DEFL-FLOW,CO,Becki Saari,,,,,,,,,
-133.411720309909,55.3056068999368,36241,732,C0734,C02,E00002000,2002F,2000,1997,2002,N,N,Y,BARE,,0,TRZO-DEFL-FLOW,UN,Pam Frone,,,,,,,,,
-131.813068699656,55.2207990229013,36242,1070,K0061,T2_3,E00001988,2007P,1988,1948,1973,N,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,0061
-131.769859154531,55.2205754720032,36243,1115,K0106,T2_3,E00001938,2007P,1938,1929,1948,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,0106
-131.768876687975,55.2934239891206,36244,1120,K0111,T2_3,E00001938,2007P,1938,1929,1948,N,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,0111
-131.795615861903,55.2214383253659,36245,1135,K0126,T2_3,E00001960,2007P,1960,1948,1973,N,N,N,BATR,PISI,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,0126
-131.823509065982,55.2187462034276,36246,1138,K0129,T2_3,E00001985,2007P,1985,1973,1997,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,0129
-132.436767726432,55.3003881595143,36247,5707,C1260,T10,E00001960,2006P,1960,1948,1971,,N,Y,BATR,ALRU2,90,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.498576112987,55.3018402927426,36248,6630,C2064,T10,E000-1948,2006P,-1948,,1948,,N,Y,BATR,PISI,100,SOAR-DEAV-FLOW,CO,Darin Silkworth,,,,,,,,,
-132.595515616849,55.2283959641989,36249,5813,C1308,T10,E00001960,2006P,1960,1948,1971,,N,Y,BEDR,ALSI3,40,SOAR-DEFL-FLOW,UN,Dennis Landwehr,,,,,,,,,
-132.965887915433,54.96795755163,36250,6419,C1848,T10,E00001938,2008P,1938,1929,1948,N,N,N,BATR,ALRU2,80,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-133.071456772301,54.9573860217715,36251,6420,C1849,T10,E00001991,2008P,1991,1985,1997,N,N,N,BARE,ALRU2,30,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,,,,
-130.697955322947,55.6287149780677,36252,14279,M2286,T17,E000-1948,2007P,-1948,,1948,N,N,N,BASH,ALSI3,100,SOAR-DEAV-FLOW,AL,Dennis Landwehr,,,,,,,,,
-130.692234428454,55.6179178778562,36253,14280,M2287,T17,E000-1948,1998P,-1948,,1948,N,N,N,BARE,CON1,15,SOAR-DEAV-FLOW,UN,Dennis Landwehr,,,,,,,,,
-132.777182445192,55.3025775001901,36254,5628,C1182,T10,E00002001,2006P,2001,1997,2006,,Y,Y,BARE,ALRU2,20,SOAR-DEFL-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.770871707957,55.3036297370828,36255,5629,C1183,T10,E00001994,2006P,1994,1991,1997,,N,N,BATR,ALRU2,75,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.736110145031,55.3034007020206,36256,5632,C1186,T10,E00002001,2006P,2001,1997,2006,,Y,Y,BARE,ALRU2,10,SOAR-DEFL-FLOW,PV,Darin Silkworth,,,,,,,,Yes,
-132.576249708471,55.3037256177152,36257,5693,C1246,T10,E00002001,2006P,2001,1997,2006,,Y,N,BARE,ALRU2,25,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.575002846532,55.3041838448908,36258,5694,C1247,T10,E00002001,2006P,2001,1997,2006,,Y,N,BARE,ALRU2,10,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.43242566598,55.2268390933052,36259,6044,C1543,T10,E000-1948,2006P,-1948,,1948,,N,Y,BASH,ALSI3,90,SOAR-DEFL-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.427006782997,55.2282800310693,36260,6049,C1544,T10,E000-1948,2006P,-1948,,1948,,N,Y,BAGR,ALSI3,100,SOAR-DEFL-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.33837798918,54.9253071351104,36261,6066,C1561,T10,E00001960,2005P,1960,1948,1971,,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.33998705432,54.9558457498446,36262,6068,C1563,T10,E00001960,2005P,1960,1948,1971,,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Dennis Landwehr,,,,,,,,,
-132.341041440318,54.9579145046934,36263,6069,C1564,T10,E00001960,2005P,1960,1948,1971,,N,Y,BATR,ALRU2,100,SOAR-DEFL-FLOW,AL,Dennis Landwehr,,,,,,,,,
-132.354821862087,54.9584391737536,36264,6045,C1565,T10,E00001960,2005P,1960,1948,1971,,N,Y,BATR,ALRU2,100,SOAR-DEFL-FLOW,AL,Dennis Landwehr,,,,,,,,,
-132.316752754877,54.9632972441041,36265,6129,C1624,T10,E00001960,2006P,1960,1948,1971,,N,N,BATR,CON1,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.302929938485,54.9589744410544,36266,6130,C1625,T10,E000-1948,2006P,-1948,,1948,,N,N,BASH,ALSI3,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.332967329872,54.9236543368732,36267,6133,C1628,T10,E00001960,2006P,1960,1948,1971,,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.281105401838,54.9278910121595,36268,6134,C1629,T10,E00001960,2006P,1960,1948,1971,,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.283604162911,54.9179595758189,36269,6135,C1630,T10,E00001960,2006P,1960,1948,1971,,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.285618032275,54.911200715543,36270,6136,C1631,T10,E00002001,2006P,2001,1997,2006,,N,N,BARE,CON1,10,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.567701958768,55.1335624513867,36271,6169,C1632,T10,E00001960,2006P,1960,1948,1971,,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.575518223985,55.1320497812854,36272,6170,C1633,T10,E00001960,2006P,1960,1948,1971,,N,N,BATR,ALRU2,90,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.507097429633,54.9078896294105,36273,6178,C1641,T10,E00002001,2006P,2001,1997,2006,,N,N,BARE,,0,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.522546532185,54.9475716411645,36274,6179,C1642,T10,E00002001,2006P,2001,1997,2006,,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.532166939424,54.9667880377728,36275,6180,C1643,T10,E000-1948,2006P,-1948,,1948,,N,N,BARE,ALRU2,100,TRZO-DEFL-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.510348669624,55.1364291494883,36276,6190,C1653,T10,E00002001,2006P,2001,1997,2006,,N,N,BARE,CON1,60,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.154905080747,54.7022364009874,36277,6203,C1666,T10,E00002001,2005P,2001,1997,2007,,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.146071685911,54.7791887842075,36278,6204,C1667,T10,E00002001,2005P,2001,1997,2005,,N,N,BARE,CON1,35,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.129160345762,54.9045243245268,36279,6205,C1668,T10,E00002001,2005P,2001,1997,2008,,Y,N,BARE,ALRU2,20,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.127916325621,54.9045260667015,36280,6206,C1669,T10,E00002001,2005P,2001,1997,2008,,Y,N,BARE,ALRU2,20,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.124359057825,54.9201405591925,36281,6207,C1670,T10,E00001978,2005P,1978,1971,1985,,N,N,BARE,CON1,10,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.13567841001,54.9387856735908,36282,6208,C1671,T10,E00001960,2005P,1960,1948,1971,,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.072815260012,54.9037192044382,36283,6217,C1680,T10,E00002001,2005P,2001,1997,2008,,N,N,BARE,ALRU2,40,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.096735188586,54.732023338119,36284,6218,C1681,T10,E000-1948,2005P,-1948,,1948,,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,UN,Dennis Landwehr,,,,,,,,,
-132.097685391957,54.7302581779862,36285,6219,C1682,T10,E000-1948,2005P,-1948,,1948,,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Dennis Landwehr,,,,,,,,,
-132.050076371308,54.8299289486451,36286,6220,C1683,T10,E00002001,2005P,2001,1997,2005,,N,N,BARE,ALRU2,30,SOAR-DEAV-FLOW,UN,Dennis Landwehr,,,,,,,,,
